Name	Start	Duration	Time Format	Type	Description
LFX - LED STATIC PINK	0:00.000	0:00.950	decimal	Cue	
LFX - LOW SPOTLIGHT	0:00.000	0:03.760	decimal	Cue	
LFX - LED STATIC GREEN	0:00.950	0:00.934	decimal	Cue	
LFX - LED STATIC PINK	0:01.885	0:00.473	decimal	Cue	
LFX - LED STATIC GREEN	0:02.358	0:00.481	decimal	Cue	
LFX - LED STATIC PINK	0:02.839	0:00.447	decimal	Cue	
LFX - PARTY CHASE	0:03.760	0:29.512	decimal	Cue	
LFX - HALF SPOTLIGHT	0:03.760	0:29.512	decimal	Cue	
LFX - BLACKOUT	0:33.272	0:10.359	decimal	Cue	
