Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	0:30.767	0:02.235	decimal	Cue	
LFX - TAB CHASE	0:26.811	0:03.955	decimal	Cue	
LFX - CS WASH	0:26.811	0:03.955	decimal	Cue	
LFX - HALF STAGE WASH	0:21.502	0:05.308	decimal	Cue	
LFX - FORMATION CHASE	0:21.200	0:00.302	decimal	Cue	
LFX - ATMOS WASH	0:20.201	0:01.300	decimal	Cue	
LFX - FULL SR SPOT	0:00.000	0:20.202	decimal	Cue	
LFX - CS WASH	0:00.000	0:20.202	decimal	Cue	
LFX - FULL SPOOKY STAGE WASH	0:00.000	0:20.202	decimal	Cue	
